Question ID,Title,Title Slug,Difficulty,Tags
226,Invert Binary Tree,invert-binary-tree,Easy,"['tree', 'depth-first-search', 'breadth-first-search', 'binary-tree']"
206,Reverse Linked List,reverse-linked-list,Easy,"['linked-list', 'recursion']"
101,Symmetric Tree,symmetric-tree,Easy,"['tree', 'depth-first-search', 'breadth-first-search', 'binary-tree']"
100,Same Tree,same-tree,Easy,"['tree', 'depth-first-search', 'breadth-first-search', 'binary-tree']"
104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,Easy,"['tree', 'depth-first-search', 'breadth-first-search', 'binary-tree']"
198,House Robber,house-robber,Medium,"['array', 'dynamic-programming']"
1365,How Many Numbers Are Smaller Than the Current Number,how-many-numbers-are-smaller-than-the-current-number,Easy,"['array', 'hash-table', 'sorting', 'counting']"
283,Move Zeroes,move-zeroes,Easy,"['array', 'two-pointers']"
70,Climbing Stairs,climbing-stairs,Easy,"['math', 'dynamic-programming', 'memoization']"
136,Single Number,single-number,Easy,"['array', 'bit-manipulation']"
1,Two Sum,two-sum,Easy,"['array', 'hash-table']"
1046,Last Stone Weight,last-stone-weight,Easy,"['array', 'heap-priority-queue']"
20,Valid Parentheses,valid-parentheses,Easy,"['string', 'stack']"
121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,Easy,"['array', 'dynamic-programming']"
876,Middle of the Linked List,middle-of-the-linked-list,Easy,"['linked-list', 'two-pointers']"
53,Maximum Subarray,maximum-subarray,Medium,"['array', 'divide-and-conquer', 'dynamic-programming']"
572,Subtree of Another Tree,subtree-of-another-tree,Easy,"['tree', 'depth-first-search', 'string-matching', 'binary-tree', 'hash-function']"
581,Shortest Unsorted Continuous Subarray,shortest-unsorted-continuous-subarray,Medium,"['array', 'two-pointers', 'stack', 'greedy', 'sorting', 'monotonic-stack']"
844,Backspace String Compare,backspace-string-compare,Easy,"['two-pointers', 'string', 'stack', 'simulation']"
235,Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,Medium,"['tree', 'depth-first-search', 'binary-search-tree', 'binary-tree']"
872,Leaf-Similar Trees,leaf-similar-trees,Easy,"['tree', 'depth-first-search', 'binary-tree']"
896,Monotonic Array,monotonic-array,Easy,['array']
203,Remove Linked List Elements,remove-linked-list-elements,Easy,"['linked-list', 'recursion']"
617,Merge Two Binary Trees,merge-two-binary-trees,Easy,"['tree', 'depth-first-search', 'breadth-first-search', 'binary-tree']"
559,Maximum Depth of N-ary Tree,maximum-depth-of-n-ary-tree,Easy,"['tree', 'depth-first-search', 'breadth-first-search']"
463,Island Perimeter,island-perimeter,Easy,"['array', 'depth-first-search', 'breadth-first-search', 'matrix']"
257,Binary Tree Paths,binary-tree-paths,Easy,"['string', 'backtracking', 'tree', 'depth-first-search', 'binary-tree']"
387,First Unique Character in a String,first-unique-character-in-a-string,Easy,"['hash-table', 'string', 'queue', 'counting']"
993,Cousins in Binary Tree,cousins-in-binary-tree,Easy,"['tree', 'depth-first-search', 'breadth-first-search', 'binary-tree']"
538,Convert BST to Greater Tree,convert-bst-to-greater-tree,Medium,"['tree', 'depth-first-search', 'binary-search-tree', 'binary-tree']"
917,Reverse Only Letters,reverse-only-letters,Easy,"['two-pointers', 'string']"
680,Valid Palindrome II,valid-palindrome-ii,Easy,"['two-pointers', 'string', 'greedy']"
543,Diameter of Binary Tree,diameter-of-binary-tree,Easy,"['tree', 'depth-first-search', 'binary-tree']"
704,Binary Search,binary-search,Easy,"['array', 'binary-search']"
1143,Longest Common Subsequence,longest-common-subsequence,Medium,"['string', 'dynamic-programming']"
208,Implement Trie (Prefix Tree),implement-trie-prefix-tree,Medium,"['hash-table', 'string', 'design', 'trie']"
958,Check Completeness of a Binary Tree,check-completeness-of-a-binary-tree,Medium,"['tree', 'breadth-first-search', 'binary-tree']"
1277,Count Square Submatrices with All Ones,count-square-submatrices-with-all-ones,Medium,"['array', 'dynamic-programming', 'matrix']"
337,House Robber III,house-robber-iii,Medium,"['dynamic-programming', 'tree', 'depth-first-search', 'binary-tree']"
1004,Max Consecutive Ones III,max-consecutive-ones-iii,Medium,"['array', 'binary-search', 'sliding-window', 'prefix-sum']"
64,Minimum Path Sum,minimum-path-sum,Medium,"['array', 'dynamic-programming', 'matrix']"
863,All Nodes Distance K in Binary Tree,all-nodes-distance-k-in-binary-tree,Medium,"['tree', 'depth-first-search', 'breadth-first-search', 'binary-tree']"
106,Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,Medium,"['array', 'hash-table', 'divide-and-conquer', 'tree', 'binary-tree']"
983,Minimum Cost For Tickets,minimum-cost-for-tickets,Medium,"['array', 'dynamic-programming']"
78,Subsets,subsets,Medium,"['array', 'backtracking', 'bit-manipulation']"
300,Longest Increasing Subsequence,longest-increasing-subsequence,Medium,"['array', 'binary-search', 'dynamic-programming']"
240,Search a 2D Matrix II,search-a-2d-matrix-ii,Medium,"['array', 'binary-search', 'divide-and-conquer', 'matrix']"
583,Delete Operation for Two Strings,delete-operation-for-two-strings,Medium,"['string', 'dynamic-programming']"
221,Maximal Square,maximal-square,Medium,"['array', 'dynamic-programming', 'matrix']"
230,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,Medium,"['tree', 'depth-first-search', 'binary-search-tree', 'binary-tree']"
1035,Uncrossed Lines,uncrossed-lines,Medium,"['array', 'dynamic-programming']"
102,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,Medium,"['tree', 'breadth-first-search', 'binary-tree']"
416,Partition Equal Subset Sum,partition-equal-subset-sum,Medium,"['array', 'dynamic-programming']"
46,Permutations,permutations,Medium,"['array', 'backtracking']"
678,Valid Parenthesis String,valid-parenthesis-string,Medium,"['string', 'dynamic-programming', 'stack', 'greedy']"
105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,Medium,"['array', 'hash-table', 'divide-and-conquer', 'tree', 'binary-tree']"
129,Sum Root to Leaf Numbers,sum-root-to-leaf-numbers,Medium,"['tree', 'depth-first-search', 'binary-tree']"
213,House Robber II,house-robber-ii,Medium,"['array', 'dynamic-programming']"
714,Best Time to Buy and Sell Stock with Transaction Fee,best-time-to-buy-and-sell-stock-with-transaction-fee,Medium,"['array', 'dynamic-programming', 'greedy']"
1011,Capacity To Ship Packages Within D Days,capacity-to-ship-packages-within-d-days,Medium,"['array', 'binary-search']"
886,Possible Bipartition,possible-bipartition,Medium,"['depth-first-search', 'breadth-first-search', 'union-find', 'graph']"
739,Daily Temperatures,daily-temperatures,Medium,"['array', 'stack', 'monotonic-stack']"
1008,Construct Binary Search Tree from Preorder Traversal,construct-binary-search-tree-from-preorder-traversal,Medium,"['array', 'stack', 'tree', 'binary-search-tree', 'monotonic-stack', 'binary-tree']"
39,Combination Sum,combination-sum,Medium,"['array', 'backtracking']"
1249,Minimum Remove to Make Valid Parentheses,minimum-remove-to-make-valid-parentheses,Medium,"['string', 'stack']"
962,Maximum Width Ramp,maximum-width-ramp,Medium,"['array', 'stack', 'monotonic-stack']"
986,Interval List Intersections,interval-list-intersections,Medium,"['array', 'two-pointers']"
47,Permutations II,permutations-ii,Medium,"['array', 'backtracking']"
926,Flip String to Monotone Increasing,flip-string-to-monotone-increasing,Medium,"['string', 'dynamic-programming']"
560,Subarray Sum Equals K,subarray-sum-equals-k,Medium,"['array', 'hash-table', 'prefix-sum']"
946,Validate Stack Sequences,validate-stack-sequences,Medium,"['array', 'stack', 'simulation']"
856,Score of Parentheses,score-of-parentheses,Medium,"['string', 'stack']"
322,Coin Change,coin-change,Medium,"['array', 'dynamic-programming', 'breadth-first-search']"
787,Cheapest Flights Within K Stops,cheapest-flights-within-k-stops,Medium,"['dynamic-programming', 'depth-first-search', 'breadth-first-search', 'graph', 'heap-priority-queue', 'shortest-path']"
200,Number of Islands,number-of-islands,Medium,"['array', 'depth-first-search', 'breadth-first-search', 'union-find', 'matrix']"
435,Non-overlapping Intervals,non-overlapping-intervals,Medium,"['array', 'dynamic-programming', 'greedy', 'sorting']"
309,Best Time to Buy and Sell Stock with Cooldown,best-time-to-buy-and-sell-stock-with-cooldown,Medium,"['array', 'dynamic-programming']"
845,Longest Mountain in Array,longest-mountain-in-array,Medium,"['array', 'two-pointers', 'dynamic-programming', 'enumeration']"
96,Unique Binary Search Trees,unique-binary-search-trees,Medium,"['math', 'dynamic-programming', 'tree', 'binary-search-tree', 'binary-tree']"
131,Palindrome Partitioning,palindrome-partitioning,Medium,"['string', 'dynamic-programming', 'backtracking']"
113,Path Sum II,path-sum-ii,Medium,"['backtracking', 'tree', 'depth-first-search', 'binary-tree']"
1110,Delete Nodes And Return Forest,delete-nodes-and-return-forest,Medium,"['array', 'hash-table', 'tree', 'depth-first-search', 'binary-tree']"
40,Combination Sum II,combination-sum-ii,Medium,"['array', 'backtracking']"
567,Permutation in String,permutation-in-string,Medium,"['hash-table', 'two-pointers', 'string', 'sliding-window']"
144,Binary Tree Preorder Traversal,binary-tree-preorder-traversal,Easy,"['stack', 'tree', 'depth-first-search', 'binary-tree']"
152,Maximum Product Subarray,maximum-product-subarray,Medium,"['array', 'dynamic-programming']"
718,Maximum Length of Repeated Subarray,maximum-length-of-repeated-subarray,Medium,"['array', 'binary-search', 'dynamic-programming', 'sliding-window', 'rolling-hash', 'hash-function']"
814,Binary Tree Pruning,binary-tree-pruning,Medium,"['tree', 'depth-first-search', 'binary-tree']"
1202,Smallest String With Swaps,smallest-string-with-swaps,Medium,"['array', 'hash-table', 'string', 'depth-first-search', 'breadth-first-search', 'union-find', 'sorting']"
1079,Letter Tile Possibilities,letter-tile-possibilities,Medium,"['hash-table', 'string', 'backtracking', 'counting']"
90,Subsets II,subsets-ii,Medium,"['array', 'backtracking', 'bit-manipulation']"
979,Distribute Coins in Binary Tree,distribute-coins-in-binary-tree,Medium,"['tree', 'depth-first-search', 'binary-tree']"
951,Flip Equivalent Binary Trees,flip-equivalent-binary-trees,Medium,"['tree', 'depth-first-search', 'binary-tree']"
94,Binary Tree Inorder Traversal,binary-tree-inorder-traversal,Easy,"['stack', 'tree', 'depth-first-search', 'binary-tree']"
695,Max Area of Island,max-area-of-island,Medium,"['array', 'depth-first-search', 'breadth-first-search', 'union-find', 'matrix']"
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,Medium,"['array', 'binary-search']"
494,Target Sum,target-sum,Medium,"['array', 'dynamic-programming', 'backtracking']"
647,Palindromic Substrings,palindromic-substrings,Medium,"['string', 'dynamic-programming']"
1026,Maximum Difference Between Node and Ancestor,maximum-difference-between-node-and-ancestor,Medium,"['tree', 'depth-first-search', 'binary-tree']"
1049,Last Stone Weight II,last-stone-weight-ii,Medium,"['array', 'dynamic-programming']"
146,LRU Cache,lru-cache,Medium,"['hash-table', 'linked-list', 'design', 'doubly-linked-list']"
109,Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,Medium,"['linked-list', 'divide-and-conquer', 'tree', 'binary-search-tree', 'binary-tree']"
402,Remove K Digits,remove-k-digits,Medium,"['string', 'stack', 'greedy', 'monotonic-stack']"
873,Length of Longest Fibonacci Subsequence,length-of-longest-fibonacci-subsequence,Medium,"['array', 'hash-table', 'dynamic-programming']"
207,Course Schedule,course-schedule,Medium,"['depth-first-search', 'breadth-first-search', 'graph', 'topological-sort']"
209,Minimum Size Subarray Sum,minimum-size-subarray-sum,Medium,"['array', 'binary-search', 'sliding-window', 'prefix-sum']"
77,Combinations,combinations,Medium,['backtracking']
752,Open the Lock,open-the-lock,Medium,"['array', 'hash-table', 'string', 'breadth-first-search']"
713,Subarray Product Less Than K,subarray-product-less-than-k,Medium,"['array', 'sliding-window']"
767,Reorganize String,reorganize-string,Medium,"['hash-table', 'string', 'greedy', 'sorting', 'heap-priority-queue', 'counting']"
236,Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,Medium,"['tree', 'depth-first-search', 'binary-tree']"
763,Partition Labels,partition-labels,Medium,"['hash-table', 'two-pointers', 'string', 'greedy']"
503,Next Greater Element II,next-greater-element-ii,Medium,"['array', 'stack', 'monotonic-stack']"
148,Sort List,sort-list,Medium,"['linked-list', 'two-pointers', 'divide-and-conquer', 'sorting', 'merge-sort']"
813,Largest Sum of Averages,largest-sum-of-averages,Medium,"['array', 'dynamic-programming', 'prefix-sum']"
540,Single Element in a Sorted Array,single-element-in-a-sorted-array,Medium,"['array', 'binary-search']"
450,Delete Node in a BST,delete-node-in-a-bst,Medium,"['tree', 'binary-search-tree', 'binary-tree']"
79,Word Search,word-search,Medium,"['array', 'backtracking', 'matrix']"
368,Largest Divisible Subset,largest-divisible-subset,Medium,"['array', 'math', 'dynamic-programming', 'sorting']"
1105,Filling Bookcase Shelves,filling-bookcase-shelves,Medium,"['array', 'dynamic-programming']"
103,Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,Medium,"['tree', 'breadth-first-search', 'binary-tree']"
216,Combination Sum III,combination-sum-iii,Medium,"['array', 'backtracking']"
241,Different Ways to Add Parentheses,different-ways-to-add-parentheses,Medium,"['math', 'string', 'dynamic-programming', 'recursion', 'memoization']"
452,Minimum Number of Arrows to Burst Balloons,minimum-number-of-arrows-to-burst-balloons,Medium,"['array', 'greedy', 'sorting']"
394,Decode String,decode-string,Medium,"['string', 'stack', 'recursion']"
22,Generate Parentheses,generate-parentheses,Medium,"['string', 'dynamic-programming', 'backtracking']"
918,Maximum Sum Circular Subarray,maximum-sum-circular-subarray,Medium,"['array', 'divide-and-conquer', 'dynamic-programming', 'queue', 'monotonic-queue']"
712,Minimum ASCII Delete Sum for Two Strings,minimum-ascii-delete-sum-for-two-strings,Medium,"['string', 'dynamic-programming']"
1094,Car Pooling,car-pooling,Medium,"['array', 'sorting', 'heap-priority-queue', 'simulation', 'prefix-sum']"
49,Group Anagrams,group-anagrams,Medium,"['array', 'hash-table', 'string', 'sorting']"
310,Minimum Height Trees,minimum-height-trees,Medium,"['depth-first-search', 'breadth-first-search', 'graph', 'topological-sort']"
378,Kth Smallest Element in a Sorted Matrix,kth-smallest-element-in-a-sorted-matrix,Medium,"['array', 'binary-search', 'sorting', 'heap-priority-queue', 'matrix']"
729,My Calendar I,my-calendar-i,Medium,"['binary-search', 'design', 'segment-tree', 'ordered-set']"
139,Word Break,word-break,Medium,"['array', 'hash-table', 'string', 'dynamic-programming', 'trie', 'memoization']"
525,Contiguous Array,contiguous-array,Medium,"['array', 'hash-table', 'prefix-sum']"
449,Serialize and Deserialize BST,serialize-and-deserialize-bst,Medium,"['string', 'tree', 'depth-first-search', 'breadth-first-search', 'design', 'binary-search-tree', 'binary-tree']"
554,Brick Wall,brick-wall,Medium,"['array', 'hash-table']"
1155,Number of Dice Rolls With Target Sum,number-of-dice-rolls-with-target-sum,Medium,['dynamic-programming']
438,Find All Anagrams in a String,find-all-anagrams-in-a-string,Medium,"['hash-table', 'string', 'sliding-window']"
486,Predict the Winner,predict-the-winner,Medium,"['array', 'math', 'dynamic-programming', 'recursion', 'game-theory']"
673,Number of Longest Increasing Subsequence,number-of-longest-increasing-subsequence,Medium,"['array', 'dynamic-programming', 'binary-indexed-tree', 'segment-tree']"
1031,Maximum Sum of Two Non-Overlapping Subarrays,maximum-sum-of-two-non-overlapping-subarrays,Medium,"['array', 'dynamic-programming', 'sliding-window']"
698,Partition to K Equal Sum Subsets,partition-to-k-equal-sum-subsets,Medium,"['array', 'dynamic-programming', 'backtracking', 'bit-manipulation', 'memoization', 'bitmask']"
199,Binary Tree Right Side View,binary-tree-right-side-view,Medium,"['tree', 'depth-first-search', 'breadth-first-search', 'binary-tree']"
424,Longest Repeating Character Replacement,longest-repeating-character-replacement,Medium,"['hash-table', 'string', 'sliding-window']"
264,Ugly Number II,ugly-number-ii,Medium,"['hash-table', 'math', 'dynamic-programming', 'heap-priority-queue']"
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,"['hash-table', 'string', 'sliding-window']"
907,Sum of Subarray Minimums,sum-of-subarray-minimums,Medium,"['array', 'dynamic-programming', 'stack', 'monotonic-stack']"
210,Course Schedule II,course-schedule-ii,Medium,"['depth-first-search', 'breadth-first-search', 'graph', 'topological-sort']"
92,Reverse Linked List II,reverse-linked-list-ii,Medium,['linked-list']
338,Counting Bits,counting-bits,Easy,"['dynamic-programming', 'bit-manipulation']"
143,Reorder List,reorder-list,Medium,"['linked-list', 'two-pointers', 'stack', 'recursion']"
454,4Sum II,4sum-ii,Medium,"['array', 'hash-table']"
279,Perfect Squares,perfect-squares,Medium,"['math', 'dynamic-programming', 'breadth-first-search']"
380,Insert Delete GetRandom O(1),insert-delete-getrandom-o1,Medium,"['array', 'hash-table', 'math', 'design', 'randomized']"
456,132 Pattern,132-pattern,Medium,"['array', 'binary-search', 'stack', 'monotonic-stack', 'ordered-set']"
376,Wiggle Subsequence,wiggle-subsequence,Medium,"['array', 'dynamic-programming', 'greedy']"
973,K Closest Points to Origin,k-closest-points-to-origin,Medium,"['array', 'math', 'divide-and-conquer', 'geometry', 'sorting', 'heap-priority-queue', 'quickselect']"
1048,Longest String Chain,longest-string-chain,Medium,"['array', 'hash-table', 'two-pointers', 'string', 'dynamic-programming']"
881,Boats to Save People,boats-to-save-people,Medium,"['array', 'two-pointers', 'greedy', 'sorting']"
307,Range Sum Query - Mutable,range-sum-query-mutable,Medium,"['array', 'design', 'binary-indexed-tree', 'segment-tree']"
1019,Next Greater Node In Linked List,next-greater-node-in-linked-list,Medium,"['array', 'linked-list', 'stack', 'monotonic-stack']"
82,Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,Medium,"['linked-list', 'two-pointers']"
477,Total Hamming Distance,total-hamming-distance,Medium,"['array', 'math', 'bit-manipulation']"
331,Verify Preorder Serialization of a Binary Tree,verify-preorder-serialization-of-a-binary-tree,Medium,"['string', 'stack', 'tree', 'binary-tree']"
62,Unique Paths,unique-paths,Medium,"['math', 'dynamic-programming', 'combinatorics']"
72,Edit Distance,edit-distance,Medium,"['string', 'dynamic-programming']"
895,Maximum Frequency Stack,maximum-frequency-stack,Hard,"['hash-table', 'stack', 'design', 'ordered-set']"
42,Trapping Rain Water,trapping-rain-water,Hard,"['array', 'two-pointers', 'dynamic-programming', 'stack', 'monotonic-stack']"
295,Find Median from Data Stream,find-median-from-data-stream,Hard,"['two-pointers', 'design', 'sorting', 'heap-priority-queue', 'data-stream']"
329,Longest Increasing Path in a Matrix,longest-increasing-path-in-a-matrix,Hard,"['array', 'dynamic-programming', 'depth-first-search', 'breadth-first-search', 'graph', 'topological-sort', 'memoization', 'matrix']"
871,Minimum Number of Refueling Stops,minimum-number-of-refueling-stops,Hard,"['array', 'dynamic-programming', 'greedy', 'heap-priority-queue']"
968,Binary Tree Cameras,binary-tree-cameras,Hard,"['dynamic-programming', 'tree', 'depth-first-search', 'binary-tree']"
992,Subarrays with K Different Integers,subarrays-with-k-different-integers,Hard,"['array', 'hash-table', 'sliding-window', 'counting']"
84,Largest Rectangle in Histogram,largest-rectangle-in-histogram,Hard,"['array', 'stack', 'monotonic-stack']"
174,Dungeon Game,dungeon-game,Hard,"['array', 'dynamic-programming', 'matrix']"
632,Smallest Range Covering Elements from K Lists,smallest-range-covering-elements-from-k-lists,Hard,"['array', 'hash-table', 'greedy', 'sliding-window', 'sorting', 'heap-priority-queue']"
407,Trapping Rain Water II,trapping-rain-water-ii,Hard,"['array', 'breadth-first-search', 'heap-priority-queue', 'matrix']"
85,Maximal Rectangle,maximal-rectangle,Hard,"['array', 'dynamic-programming', 'stack', 'matrix', 'monotonic-stack']"
312,Burst Balloons,burst-balloons,Hard,"['array', 'dynamic-programming']"
862,Shortest Subarray with Sum at Least K,shortest-subarray-with-sum-at-least-k,Hard,"['array', 'binary-search', 'queue', 'sliding-window', 'heap-priority-queue', 'prefix-sum', 'monotonic-queue']"
815,Bus Routes,bus-routes,Hard,"['array', 'hash-table', 'breadth-first-search']"
132,Palindrome Partitioning II,palindrome-partitioning-ii,Hard,"['string', 'dynamic-programming']"
773,Sliding Puzzle,sliding-puzzle,Hard,"['array', 'breadth-first-search', 'matrix']"
123,Best Time to Buy and Sell Stock III,best-time-to-buy-and-sell-stock-iii,Hard,"['array', 'dynamic-programming']"
315,Count of Smaller Numbers After Self,count-of-smaller-numbers-after-self,Hard,"['array', 'binary-search', 'divide-and-conquer', 'binary-indexed-tree', 'segment-tree', 'merge-sort', 'ordered-set']"
354,Russian Doll Envelopes,russian-doll-envelopes,Hard,"['array', 'binary-search', 'dynamic-programming', 'sorting']"
719,Find K-th Smallest Pair Distance,find-k-th-smallest-pair-distance,Hard,"['array', 'two-pointers', 'binary-search', 'sorting']"
301,Remove Invalid Parentheses,remove-invalid-parentheses,Hard,"['string', 'backtracking', 'breadth-first-search']"
32,Longest Valid Parentheses,longest-valid-parentheses,Hard,"['string', 'dynamic-programming', 'stack']"
51,N-Queens,n-queens,Hard,"['array', 'backtracking']"
630,Course Schedule III,course-schedule-iii,Hard,"['array', 'greedy', 'sorting', 'heap-priority-queue']"
115,Distinct Subsequences,distinct-subsequences,Hard,"['string', 'dynamic-programming']"
834,Sum of Distances in Tree,sum-of-distances-in-tree,Hard,"['dynamic-programming', 'tree', 'depth-first-search', 'graph']"
410,Split Array Largest Sum,split-array-largest-sum,Hard,"['array', 'binary-search', 'dynamic-programming', 'greedy', 'prefix-sum']"
212,Word Search II,word-search-ii,Hard,"['array', 'string', 'backtracking', 'trie', 'matrix']"
99,Recover Binary Search Tree,recover-binary-search-tree,Medium,"['tree', 'depth-first-search', 'binary-search-tree', 'binary-tree']"
297,Serialize and Deserialize Binary Tree,serialize-and-deserialize-binary-tree,Hard,"['string', 'tree', 'depth-first-search', 'breadth-first-search', 'design', 'binary-tree']"
239,Sliding Window Maximum,sliding-window-maximum,Hard,"['array', 'queue', 'sliding-window', 'heap-priority-queue', 'monotonic-queue']"
145,Binary Tree Postorder Traversal,binary-tree-postorder-traversal,Easy,"['stack', 'tree', 'depth-first-search', 'binary-tree']"
37,Sudoku Solver,sudoku-solver,Hard,"['array', 'hash-table', 'backtracking', 'matrix']"
45,Jump Game II,jump-game-ii,Medium,"['array', 'dynamic-programming', 'greedy']"
128,Longest Consecutive Sequence,longest-consecutive-sequence,Medium,"['array', 'hash-table', 'union-find']"
218,The Skyline Problem,the-skyline-problem,Hard,"['array', 'divide-and-conquer', 'binary-indexed-tree', 'segment-tree', 'line-sweep', 'heap-priority-queue', 'ordered-set']"
44,Wildcard Matching,wildcard-matching,Hard,"['string', 'dynamic-programming', 'greedy', 'recursion']"
689,Maximum Sum of 3 Non-Overlapping Subarrays,maximum-sum-of-3-non-overlapping-subarrays,Hard,"['array', 'dynamic-programming']"
97,Interleaving String,interleaving-string,Medium,"['string', 'dynamic-programming']"
23,Merge k Sorted Lists,merge-k-sorted-lists,Hard,"['linked-list', 'divide-and-conquer', 'heap-priority-queue', 'merge-sort']"
188,Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,Hard,"['array', 'dynamic-programming']"
